SKU,Name,Character,Additional Characters,Faction,Series,Team,Line,Company,Type,Category,Price,Qty,Order Date,Ship Date,Vendor,Order #,notes,Item Total,0
CDMW-14,CDMW-14* The King's Power Parts Custom Giant Sonic Sword - G1 Bronze/Gold,,,Other,,,,CrazyDevy,third,Upgrade,$16.82,1,2/20/2014,2/21/2014,BBTS,8574269,,$16.82,"$3,165.54"
DW-P12,DW-P12 Blaster Set of 2 Version 01,,,Other,,,,Dr. Wu,third,Upgrade,$15.99,1,2/20/2014,2/21/2014,BBTS,8574269,,$15.99,"$3,181.53"
,Generations 2014 Voyager Series 02 Revision 02 - Rhinox,Rhinox,,Maximal,BW,,Thrilling 30,Hasbro,first,Voyager,$22.99,1,3/18/2014,3/19/2014,BBTS,8678170,,$22.99,"$3,204.52"
,Generations 2014 Voyager Series 02 Revision 02 - Whirl,Whirl,,Autobot,IDW,,Thrilling 30,Hasbro,first,Voyager,$23.00,1,3/18/2014,3/19/2014,BBTS,8678170,,$23.00,"$3,227.52"
BEK-01SP,BEK-01SP Boosticus Upgrade Kit,,,Other,,,,X-Transbots,third,Upgrade,$59.99,1,3/18/2014,3/19/2014,BBTS,8678170,,$59.99,"$3,287.51"
MM-01,Manga Mech Series MM-01 Trash-Talk & Cogwheel Set,Swerve,Gears,Autobot,IDW,,,MakeToys,third,3PMP,$69.99,1,3/26/2014,3/27/2014,BBTS,8718511,,$69.99,"$3,357.50"
MFB,Make Toys M.F.B. - My First Blaster,,,Other,,,,MakeToys,third,Upgrade,$12.99,1,3/26/2014,3/27/2014,BBTS,8718511,,$12.99,"$3,370.49"
XT004,XT004 - Interception Kit - Red,,,Other,,,,X2 Toys,third,Upgrade,$42.99,1,3/28/2014,4/1/2014,BBTS,8731188,,$42.99,"$3,413.48"
,Generations Legends 2014 Series 01 - Set of 2 (Cosmos),Cosmos,Payload,Autobot,IDW,,Thrilling 30,Hasbro,first,Legends,$11.00,1,5/19/2014,5/20/2014,BBTS,8910143,,$11.00,"$3,424.48"
,Generations Legends 2014 Series 01 - Set of 2 (Swerve),Swerve,Flanker,Autobot,IDW,,Thrilling 30,Hasbro,first,Legends,$11.00,1,5/19/2014,5/20/2014,BBTS,8910143,,$11.00,"$3,435.47"
,Generations Legends 2014 Series 02 - Set of 2 (Skrapnel),Shrapnel,Reflector,Decepticon,IDW,,Thrilling 30,Hasbro,first,Legends,$11.00,1,5/22/2014,5/23/2014,BBTS,8935980,,$11.00,"$3,446.47"
,Generations Legends 2014 Series 02 - Set of 2 (Tailgate),Tailgate,Groundbuster,Autobot,IDW,,Thrilling 30,Hasbro,first,Legends,$11.00,1,5/22/2014,5/23/2014,BBTS,8935980,,$11.00,"$3,457.46"
,Before & After Six Sigma - Black Arms,Six-Gun,Scamper,Autobot,,Metroplex,,Before & After,third,Upgrade,$82.99,1,7/31/2014,8/1/2014,BBTS,9248236,,$82.99,"$3,540.45"
LER-01,Lost Exo-Realm - LER-01 Columpio & Drepan,Sludge,,Autobot,LER,Dinobots,Lost Exo Realm,FansProject,third,3PMP,$102.99,1,9/4/2014,9/8/2014,BBTS,9401382,,$102.99,"$3,643.44"
,Generations 2014 Series 03 - Set of 2 (Tankor),Tankor,,Vehicon,BM,,Thrilling 30,Hasbro,first,Deluxe,$17.00,1,9/4/2014,9/8/2014,BBTS,9401382,,$17.00,"$3,660.44"
,Generations 2014 Series 03 - Set of 2 (Rattrap),Rattrap,,Maximal,BW,,Thrilling 30,Hasbro,first,Deluxe,$17.00,1,9/4/2014,9/8/2014,BBTS,9401382,,$17.00,"$3,677.43"
PE-DX03,PE-DX03 - Warden,Fortress Maximus,,Autobot,,,,Perfect Effect,third,3PMP,$149.99,1,9/4/2014,9/8/2014,BBTS,9401382,,$149.99,"$3,827.42"
,"Generations 2014 Series 04 - Set of 4 (Crosscut, Jhiaxus and Nightbeat, Windblade)",Crosscut,,Autobot,IDW,,Thrilling 30,Hasbro,first,Deluxe,$15.00,1,9/16/2014,9/17/2014,BBTS,9457543,,$15.00,"$3,842.42"
,"Generations 2014 Series 04 - Set of 4 (Crosscut, Jhiaxus and Nightbeat, Windblade)",Jhiaxus,,Decepticon,IDW,,Thrilling 30,Hasbro,first,Deluxe,$15.00,1,9/16/2014,9/17/2014,BBTS,9457543,,$15.00,"$3,857.41"
,"Generations 2014 Series 04 - Set of 4 (Crosscut, Jhiaxus and Nightbeat, Windblade)",Nightbeat,,Autobot,IDW,,Thrilling 30,Hasbro,first,Deluxe,$15.00,1,9/16/2014,9/17/2014,BBTS,9457543,,$15.00,"$3,872.41"
,"Generations 2014 Series 04 - Set of 4 (Crosscut, Jhiaxus and Nightbeat, Windblade)",Windblade,,Autobot,IDW,,Thrilling 30,Hasbro,first,Deluxe,$15.00,1,9/16/2014,9/17/2014,BBTS,9457543,,$15.00,"$3,887.41"
